,3,5,7,9,10,12,14,16,18,20,25
infant,0.199194,0.237157,0.26225,0.309817,0.317102,0.365491,0.394791,0.43220200000000003,0.473182,0.49537,0.601187
vl,13.636698999999998,18.396106,22.455515,25.662367,26.369243,31.614922999999997,33.304122,36.390615000000004,43.248384,47.607245,56.80589499999999
speedup,68.45942,77.569284,85.626497,82.830726,83.156988,86.499868,84.35892199999999,84.198212,91.39914399999999,96.104505,94.489529
