,100,300,500,700,1000,1500,2000,2500,3000,3500,4000,5000
vl,1026.626467,1010.880467,1037.407618,1069.937105,1106.949806,1156.143673,1185.967109,1224.128697,1247.824458,1226.002597,1254.25456,1289.276463
infant,1262.207404,1270.380787,1324.631546,1320.331984,1376.827176,1374.679684,1405.7986,1392.82265,1422.792831,1439.776194,1440.353536,1456.676553
m1,2694.144492,2844.970915,2832.622928,2765.753955,2799.574422,2779.954771,2844.521802,2818.188893,2883.301608,2829.824422,2903.106007,2743.031649
