,3,5,7,9,12,16,20
vl,1797.456584,1332.821864,1122.63086,975.5508705,831.9773005,719.4878517,641.6443872
infant,2011.095704,1603.832444,1353.969398,1184.64693,1064.151467,926.1662915,865.921747
m1,3436.418038,3001.441062,2779.780154,2720.555998,2336.98529,2031.317303,1893.124475
