,100,300,500,700,1000,1500,2000
vl,1578.068642,1724.770022,1817.768629,1866.338931,1946.807246,2036.27411,2085.858917
infant,1967.547259,2092.602949,2228.094467,2255.536186,2264.868548,2384.281261,2444.915889
m1,4499.461491,4883.600333,4938.870795,5021.791392,4985.814205,5063.119124,5095.382416
