,200,400,600,800,1000,1200,1400,1600,1800,2000,2500,3000,3500,4000,5000
infant,0.260152,0.255916,0.258502,0.267094,0.284323,0.27122199999999996,0.27218000000000003,0.27571599999999996,0.271491,0.291037,0.29419,0.296325,0.299964,0.301172,0.325838
vl,1.8143509999999998,4.482422,5.81297,8.702727000000001,11.233948,13.697454,16.092205,19.318544,20.103393,24.058444,27.977008,34.317129,45.486813,49.186363,65.029239
speedup,6.974195,17.515181,22.487154,32.582986,39.511161,50.502701,59.123284,70.066694,74.0481,82.66469599999999,95.098272,115.809248,151.641108,163.31641100000002,199.575062
